region,sex,japanese_or_not,black_or_not,chinese_or_not,other_race,mexican_or_not,age_under_30,income_in_range,n
mountain division,1,0,0,1,0,0,1,0,156
mountain division,1,0,1,0,0,0,0,0,2087
mountain division,1,0,1,0,0,0,0,1,43
mountain division,1,0,1,0,0,0,1,0,751
mountain division,1,0,1,0,0,0,1,1,11
mountain division,1,0,1,0,0,1,0,0,40
mountain division,1,0,1,0,0,1,1,0,40
mountain division,1,1,0,0,0,0,0,0,160
mountain division,1,1,0,0,0,0,1,0,28
pacific division,0,0,0,0,0,0,0,0,99188
pacific division,0,0,0,0,0,0,0,1,5181
pacific division,0,0,0,0,0,0,1,0,19607
pacific division,0,0,0,0,0,0,1,1,792
pacific division,0,0,0,0,0,1,0,0,19132
pacific division,0,0,0,0,0,1,0,1,553
pacific division,0,0,0,0,0,1,1,0,8019
pacific division,0,0,0,0,0,1,1,1,197
pacific division,0,0,0,0,1,0,0,0,19271
pacific division,0,0,0,0,1,0,0,1,1360
pacific division,0,0,0,0,1,0,1,0,4912
pacific division,0,0,0,0,1,0,1,1,232
pacific division,0,0,0,0,1,1,0,0,9857
pacific division,0,0,0,0,1,1,0,1,219
pacific division,0,0,0,0,1,1,1,0,4158
pacific division,0,0,0,0,1,1,1,1,79
pacific division,0,0,0,1,0,0,0,0,6842
pacific division,0,0,0,1,0,0,0,1,558
pacific division,0,0,0,1,0,0,1,0,1717
pacific division,0,0,0,1,0,0,1,1,74
pacific division,0,0,1,0,0,0,0,0,6501
pacific division,0,0,1,0,0,0,0,1,171
pacific division,0,0,1,0,0,0,1,0,1722
pacific division,0,0,1,0,0,0,1,1,43
pacific division,0,0,1,0,0,1,0,0,95
pacific division,0,0,1,0,0,1,1,0,71
pacific division,0,1,0,0,0,0,0,0,2511
pacific division,0,1,0,0,0,0,0,1,140
pacific division,0,1,0,0,0,0,1,0,215
pacific division,0,1,0,0,0,0,1,1,10
pacific division,0,1,0,0,0,1,0,0,18
pacific division,1,0,0,0,0,0,0,0,94033
pacific division,1,0,0,0,0,0,0,1,5521
pacific division,1,0,0,0,0,0,1,0,21444
pacific division,1,0,0,0,0,0,1,1,846
pacific division,1,0,0,0,0,1,0,0,17495
pacific division,1,0,0,0,0,1,0,1,516
pacific division,1,0,0,0,0,1,1,0,8128
pacific division,1,0,0,0,0,1,1,1,226
pacific division,1,0,0,0,1,0,0,0,16363
pacific division,1,0,0,0,1,0,0,1,1139
pacific division,1,0,0,0,1,0,1,0,5118
pacific division,1,0,0,0,1,0,1,1,230
pacific division,1,0,0,0,1,1,0,0,9827
pacific division,1,0,0,0,1,1,0,1,207
pacific division,1,0,0,0,1,1,1,0,4626
pacific division,1,0,0,0,1,1,1,1,77
pacific division,1,0,0,1,0,0,0,0,5459
pacific division,1,0,0,1,0,0,0,1,462
pacific division,1,0,0,1,0,0,1,0,1685
pacific division,1,0,0,1,0,0,1,1,76
pacific division,1,0,0,1,0,1,0,0,13
pacific division,1,0,1,0,0,0,0,0,6425
pacific division,1,0,1,0,0,0,0,1,203
pacific division,1,0,1,0,0,0,1,0,2158
pacific division,1,0,1,0,0,0,1,1,35
pacific division,1,0,1,0,0,1,0,0,92
pacific division,1,0,1,0,0,1,1,0,109
pacific division,1,1,0,0,0,0,0,0,1753
pacific division,1,1,0,0,0,0,0,1,125
pacific division,1,1,0,0,0,0,1,0,216
pacific division,1,1,0,0,0,0,1,1,13
pacific division,1,1,0,0,0,1,0,0,12
